,Name,League,reference,ISO,Spd,wRC+,OBP,wOBA,Score,ISO_Percentile,Spd_Percentile,wRC+_Percentile,OBP_Percentile,wOBA_Percentile
74,Blake Mitchell,MiLB,Mookie Betts,0.191919192,6.514789695638854,134.77161377121232,0.368312757,0.3806880606600076,,71.31474103585657,89.64143426294821,90.0398406374502,93.62549800796812,95.2191235059761
75,Mookie Betts,MLB,,0.202222223,6.294592030484924,141.05249143299704,0.372093023,0.3709689515573969,0.983770923658337,78.48605577689243,86.45418326693228,94.02390438247012,94.02390438247012,94.82071713147411
76,Bryce Eldridge,MiLB,Joc Pederson,0.224215246,4.697636626148563,136.9960787036935,0.371868978,0.3979424084572829,,89.64143426294821,60.55776892430279,91.23505976095618,93.62549800796812,98.00796812749005
77,Joc Pederson,MLB,,0.239782017,3.908926098701616,151.22539204110254,0.392776523,0.3910353168878966,0.9681121499785784,93.22709163346613,44.223107569721115,96.01593625498009,98.80478087649402,96.81274900398407
78,Cooper Pratt,MiLB,Steven Kwan,0.129682997,7.2096639046702915,126.393881911168,0.362282878,0.367263027959071,,25.099601593625497,95.61752988047809,84.06374501992032,91.23505976095618,94.02390438247012
79,Steven Kwan,MLB,,0.133333334,5.102867599411571,130.84328170592786,0.368029739,0.3494486094185854,0.8447857719643903,27.091633466135455,67.72908366533864,88.04780876494024,93.62549800796812,86.85258964143426
80,Kyle Teel,MiLB,Jose Altuve,0.145199063,4.363749597570063,133.50556265532143,0.386138613,0.3759942723972962,,36.254980079681275,52.191235059760956,89.2430278884462,96.81274900398407,94.82071713147411
81,Jose Altuve,MLB,,0.144904458,4.423971485211609,127.47955141816854,0.350439882,0.344237520589548,0.940702878034477,35.85657370517929,54.581673306772906,84.86055776892431,87.25099601593625,84.4621513944223
82,Brayden Taylor,MiLB,Tyler Fitzgerald,0.242924528,8.161264324162886,144.0812933038177,0.364891518,0.3900313186927659,,94.02390438247012,98.80478087649402,94.82071713147411,92.03187250996015,96.01593625498009
83,Tyler Fitzgerald,MLB,,0.216560509,6.771793595235699,131.74547207410086,0.33431085,0.3567421114689443,0.9741936916279064,87.64940239043824,92.03187250996015,88.84462151394422,75.2988047808765,88.44621513944223
84,Kristian Campbell,MiLB,William Contreras,0.227906976,6.0720310567829685,179.5285274824213,0.439071566,0.4473002058591029,,90.43824701195219,82.07171314741036,98.80478087649402,99.60159362549801,99.60159362549801
85,William Contreras,MLB,,0.18487395,4.415599497166965,130.742438133437,0.365243004,0.3587271837346278,0.9775198229057487,67.52988047808765,53.38645418326693,87.64940239043824,92.43027888446214,89.2430278884462
86,Ralphy Velazquez,MiLB,Jose Altuve,0.153846154,4.473254463795337,117.03950665169752,0.346578366,0.3524600345212801,,45.0199203187251,55.37848605577689,73.70517928286853,85.65737051792829,87.25099601593625
87,Jose Altuve,MLB,,0.144904458,4.423971485211609,127.47955141816854,0.350439882,0.344237520589548,0.9049206364450142,35.85657370517929,54.581673306772906,84.86055776892431,87.25099601593625,84.4621513944223
88,Leodalis De Vries,MiLB,Jarren Duran,0.204013378,7.434012205696478,115.51944622737722,0.361111111,0.3779162375463379,,78.88446215139442,96.01593625498009,70.91633466135458,91.23505976095618,94.82071713147411
89,Jarren Duran,MLB,,0.207153502,7.982662395677068,129.02292667113866,0.341961852,0.3568673902286514,0.9161668789146756,82.47011952191235,97.21115537848605,85.65737051792829,82.47011952191235,88.84462151394422
